Date,Open,High,Low,Close,Adj Close,Volume,dividendYield,targetMeanPrice,earningsDate,beta,priceToBook,priceToSalesTrailing12Months,forwardPE
2019-02-07,105.19000244140625,105.58999633789062,104.29000091552734,105.2699966430664,99.77957916259766,29760700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-08,104.38999938964844,105.77999877929688,104.26000213623047,105.66999816894531,100.15870666503906,21461100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-11,106.19999694824219,106.58000183105469,104.97000122070312,105.25,99.76061248779297,18914100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-12,106.13999938964844,107.13999938964844,105.4800033569336,106.88999938964844,101.31507873535156,25056600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-13,107.5,107.77999877929688,106.70999908447266,106.80999755859375,101.23924255371094,18394900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-14,106.30999755859375,107.29000091552734,105.66000366210938,106.9000015258789,101.32455444335938,21784700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-15,107.91000366210938,108.30000305175781,107.36000061035156,108.22000122070312,102.57572174072266,26606900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-19,107.79000091552734,108.66000366210938,107.77999877929688,108.16999816894531,102.52832794189453,18038500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-20,107.86000061035156,107.94000244140625,106.29000091552734,107.1500015258789,101.99525451660156,21607700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-21,106.9000015258789,109.4800033569336,106.87000274658203,109.41000366210938,104.14653015136719,29063200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-22,110.05000305175781,111.19999694824219,109.81999969482422,110.97000122070312,105.6314926147461,27763200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-25,111.76000213623047,112.18000030517578,111.26000213623047,111.58999633789062,106.22164916992188,23750600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-26,111.26000213623047,113.23999786376953,111.16999816894531,112.36000061035156,106.95463562011719,21536700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-27,111.69000244140625,112.36000061035156,110.87999725341797,112.16999816894531,106.77376556396484,21487100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-02-28,112.04000091552734,112.87999725341797,111.7300033569336,112.02999877929688,106.6405029296875,29083900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-01,112.88999938964844,113.0199966430664,111.66999816894531,112.52999877929688,107.116455078125,23501200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-04,113.0199966430664,113.25,110.80000305175781,112.26000213623047,106.85944366455078,26608000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-05,112.25,112.38999938964844,111.2300033569336,111.69999694824219,106.32636260986328,19538300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-06,111.87000274658203,112.66000366210938,111.43000030517578,111.75,106.37397003173828,17687000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-07,111.4000015258789,111.55000305175781,109.87000274658203,110.38999938964844,105.07938385009766,25339000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-08,109.16000366210938,110.70999908447266,108.80000305175781,110.51000213623047,105.19361114501953,22818400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-11,110.98999786376953,112.94999694824219,110.9800033569336,112.83000183105469,107.40200805664062,26491600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-12,112.81999969482422,113.98999786376953,112.6500015258789,113.62000274658203,108.15402221679688,26132700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-13,114.12999725341797,115.0,113.77999877929688,114.5,108.99168395996094,35513800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
